title,description,rating,travel_date,review_date
Karina was great in terms of restarting…,Karina was great in terms of restarting my employment with Workwell. She gave clear and helpful steps I need to complete from my side. In the past I have dealt with one or two rude staff members from WorkWell over the phone which really put me off from having to call WorkWell but Karina changed that perspective for me today with her helpfulness.Kind RegardsIbaad,5,Date of experience: 12 September 2024,12 Sept 2024
Efficient and fast when dealing with…,Efficient and fast when dealing with queries. Thank you.,5,Date of experience: 04 October 2024,6 days ago
Good customer’s service made experience great was the was…,What made my experience great was the way was spoke to. Barney T took time to explain everything I needed to know about my pay slip. Great customer’s service,5,Date of experience: 26 September 2024,26 Sept 2024
The staff of work well are great they…,The staff of work well are great they are very helpful and nice thank you,5,Date of experience: 08 October 2024,2 days ago
The staff is very kind and they always try to solve problems thanks to all work well staff team,The company is fantastic and they always help us .Very happy the way they treat us thanks to all of you guys.,5,Date of experience: 03 October 2024,7 days ago
Customer service is second to none!,"I highly recommend this business. Their customer service is second to none, friendly, helpful and gets the job done!",5,Date of experience: 25 September 2024,25 Sept 2024
Pensions and Holiday Pay,Answered all my questions on pensions and holiday pay.,5,Date of experience: 03 October 2024,7 days ago
Offers a service.,Offers a service.Impersonal.Messed up a number of pension transfersMessed up my tax code.Just stay on top of them.,3,Date of experience: 04 October 2024,6 days ago
Initial contact was not initialised asi…,Initial contact was not initialised asi would have expected.  An email telling me of the contact would have alayed any issues of authenticity by providing a named representative that I would be hearing from to update my details.,4,Date of experience: 03 October 2024,7 days ago
Thank you for the help provided,"Thank you for the help provided,  it was extremely quick and efficient.",5,Date of experience: 03 October 2024,7 days ago
Natasha was very polite and confident…,Natasha was very polite and confident in their work.,5,Date of experience: 04 October 2024,6 days ago
Very helpful,"Very helpful, quick to get started.  Answered all my questions, good service so far",5,Date of experience: 01 October 2024,1 Oct 2024
Very clear and precise answers,Very clear and precise answers,5,Date of experience: 07 October 2024,3 days ago
Natasha C dealt with my query…,Natasha C dealt with my query pleasantly and efficiently. Thanks. Rachael Corbin.,5,Date of experience: 25 September 2024,25 Sept 2024
Barney provided precise information i…,Barney provided precise information i was looking for and provided the details in email as requested on the call.,5,Date of experience: 25 September 2024,26 Sept 2024
Friendly and informative,The agent was quick to respond and friendly to speak to. She was able to give me an explanation and was very thorough in her approach. Resolved Thank you,5,Date of experience: 25 September 2024,25 Sept 2024
IAM VERY HAPPY WITH WORKWELL…,I must say that iam very happy with workwell  and also to mention that the person name   Amal was very helpful and carried out what I needed very happy with the company and how they work very professional people,5,Date of experience: 18 September 2024,18 Sept 2024
Preeya handled my query brilliantly,Preeya handled my query brilliantly. She was knowledgeable and understood my situation. She was vey personable and a delight to deal with. Gary on new arrivals was also very good.,5,Date of experience: 09 September 2024,12 Sept 2024
Starting to work in the UK,"Starting to work in the UKI am a contractor with a teacher agency from overseas. Workwell is the company the agency works with. Haven't done much beyond the initial set-up but the phone call and follow up emails were personable and I was informed about necessary documents, procedures and next steps. Whether or not things will change is beyond me but so far it has been excellent service!",5,Date of experience: 15 August 2024,15 Aug 2024
Queried when I would get paid.,"Martin did the usual checks, then looked into my query, he found out my wages were being processed and will be transferred tomorrow.He was quick, efficient and polite.All good.",5,Date of experience: 29 August 2024,29 Aug 2024
Helpful and well-mannered when dealing…,Helpful and well-mannered when dealing with my enquiry.,5,Date of experience: 01 October 2024,1 Oct 2024
Natasha C dealt with my query promptly…,"Natasha C dealt with my query promptly all while being personable, helpful + informative. Overall a great customer service experience!",5,Date of experience: 30 September 2024,30 Sept 2024
Excellent!,The person I spoke to (Garry) was incredibly helpful and patient. He explained everything to me really well and made sure I understood everything.,5,Date of experience: 13 September 2024,13 Sept 2024
Great experience,"Ellie Dutton has provided clear advice and comprehensive assistance throughout the process. She is a real credit to Workwell. I spoke to Patrick by telephone and he was very professional, efficient and courteous. All round great experience. Thank you.",5,Date of experience: 29 August 2024,29 Aug 2024
The call handler,"The call handler, was very professional, polite and customer focused. Sorted out my query expeditiously. Thank you.",5,Date of experience: 27 September 2024,27 Sept 2024
Great team and staff members.,It was a wonderful positive experience and pleasure speaking with the Work Well team member today. Patrick made it easy for me to complete the paperwork !!,5,Date of experience: 12 September 2024,12 Sept 2024
I really like it the way Natasha…,I really like it the way Natasha explain me everything. She's very helpful,5,Date of experience: 01 October 2024,1 Oct 2024
"Fast response, clear explanation",Fast response.  Explained issues clearly.,5,Date of experience: 03 October 2024,3 Oct 2024
Nataasha was fantastic,"Nataasha was fantastic, she took her time to explain to me my concern and she was swift about it",5,Date of experience: 18 September 2024,18 Sept 2024
She was very helpful and polite.,She was very helpful and polite.,5,Date of experience: 02 October 2024,6 days ago
No payment!!!,Patrick promised me I would get paid on my payday as it is my daughter's 10th birthday he left the office without completing! I'm paying for a service I haven't received as a single mum I am doing everything possible for my daughter I did the work was signed off even that was a let down generating my timesheets,1,Date of experience: 13 September 2024,13 Sept 2024
Preeya was very helpful and answered…,Preeya was very helpful and answered all my queries in a friendly polite manner. I am very happy with the service . Thank you,5,Date of experience: 24 September 2024,24 Sept 2024
Amal was really good and very helpful…,Amal was really good and very helpful on all of my queries. Workwell and their staff are always are very helpful and prompt with the responses to their employees.,5,Date of experience: 05 September 2024,5 Sept 2024
Barney was great,Barney was great. He answered my questions about Holiday pay and I was confident that he was giving the correct answers I needed. I was very pleased with him.,5,Date of experience: 09 September 2024,9 Sept 2024
Very informative and spoke clearly,Very informative and spoke clearly,5,Date of experience: 04 October 2024,6 days ago
Happy with service received Pleasant manor call answered speedily…,Pleasant manor call answered speedily new what I wanted and answered my query very quickly and clearly thank you,5,Date of experience: 18 September 2024,18 Sept 2024
Good followup and Consistency in communication,Workwell has an amazing touch of excellence  as they have a very good followup and an amazing explicit system that makes their client enjoy every single service.,5,Date of experience: 11 September 2024,11 Sept 2024
Customer care experience is very good,Date of experience: 09 October 2024,5,Date of experience: 09 October 2024,A day ago
UPDATE,"Phone answered after afew rings, no having to hold on listening to music on a loopMartin was able to update me with the information I need very quickley.",5,Date of experience: 23 August 2024,23 Aug 2024
Since I started working with Workwell I…,Since I started working with Workwell I was desapointed when ever I call easy to trough phone and always happy 😃.,5,Date of experience: 10 September 2024,10 Sept 2024
The agent asked me everything in detail…,"The agent asked me everything in detail to know better my situation, so that was so helpful.As well as she was very Kindle and pacientes.",5,Date of experience: 12 September 2024,12 Sept 2024
Log in portal,"Preeya was very helpful in helping me find the way into the logging in portal and very very patient ,well done 👏👏",5,Date of experience: 04 September 2024,4 Sept 2024
Anton was really helpful and genuine…,Anton was really helpful and genuine and the best representative I’ve spoken to so far on the phone at Workwell.He took the time to listen to my questions and was very understanding.Jack,5,Date of experience: 08 August 2024,9 Aug 2024
Polite customer services agent,"Polite, professional and answered query in a calm manner….Thank you.",5,Date of experience: 18 September 2024,18 Sept 2024
Anton is very responsive and helped me…,Anton is very responsive and helped me in  a great way to proceed with my questions He responded to all my queries with quick turnaround,5,Date of experience: 22 August 2024,22 Aug 2024
Preeya’s performance,"Preeya was extremely helpful, friendly and professional. Preeya totally understood what my problem was and took immediate steps to remedy the situation. I am grateful to Preeya. Workwell should be proud to have such amazing employees.",4,Date of experience: 13 September 2024,13 Sept 2024
They listened to my problem carefully…,They listened to my problem carefully and then told me that they was going to deal with it and contact me when it was in place.,5,Date of experience: 31 August 2024,31 Aug 2024
Barney was spot on and resolved my query,Date of experience: 07 October 2024,5,Date of experience: 07 October 2024,3 days ago
The staff answered my queries very…,The staff answered my queries very patiently and there always have someone answer my call.,5,Date of experience: 12 September 2024,12 Sept 2024
Daniel was so friendly and knowledgable…,Daniel was so friendly and knowledgable on my query that I was really impressed. He patiently took the time to explain and answer all of my questions. I would recommend Workwell to friends and definitely Daniel who made the call a breeze. Thank you!,5,Date of experience: 08 August 2024,8 Aug 2024
I would never recommend Workwell…,"I would never recommend Workwell Solutions to anyone. Their mistakes have caused me significant financial stress, and I am still dealing with the consequences. They issued my P45 while still owing me money and then had to issue a second P45 a month later after I had already started a new job. This led HMRC to believe I had two employments, resulting in an extremely high tax deduction.To make matters worse, three months have passed, and I am still paying an enormous amount of tax because Workwell Solutions failed to update HMRC that my employment had ended. After speaking with HMRC, they still show me as having two jobs due to Workwell Solutions' negligence.Additionally, their 'customer service' treated me terribly throughout this ordeal. This experience has been incredibly distressing, and I wouldn’t recommend Workwell Solutions to anyone.",1,Date of experience: 13 September 2024,13 Sept 2024
Phone call was answered immediately and…,Phone call was answered immediately and my call was handled quickly and efficiently. Thank you,5,Date of experience: 13 September 2024,13 Sept 2024
Good customer services,Good customer service. The staff provided clear explanations of my options and patiently answered all of my questions.,5,Date of experience: 02 September 2024,2 Sept 2024
The explanation for how Workwell works…,The explanation for how Workwell works was clear and easy to follow,5,Date of experience: 18 September 2024,18 Sept 2024
Barney was really helpful,"Barney was really helpful, customer focused, friendly and offered to chase my query.",5,Date of experience: 11 September 2024,11 Sept 2024
Professional and dealt with my query,Professional and dealt with my query,5,Date of experience: 27 September 2024,28 Sept 2024
What is employer national insurance distribution taken out of my payslip,"The lady is very knowledgeable and explains all this difficult information easily to be understood!!! Many, many thanks!!!!",5,Date of experience: 13 September 2024,13 Sept 2024
Lewis (customer service agent to get credit),"Lewis, was very helpful. I had been concerned when previous company merged into workwell but it's a very efficient company. Highly recommend.",5,Date of experience: 15 August 2024,15 Aug 2024
The company helped answer my questions…,The company helped answer my questions and deal with my enquiry efficiently.,4,Date of experience: 02 October 2024,2 Oct 2024
Preeya,"Preeya was so amazing.I talk to her about my holiday pay.she was so polite.She explained me well about my p45, it was really quick service. I am happy about it.😊",5,Date of experience: 10 September 2024,10 Sept 2024
Thanks for your good customer service,Thanks for your good customer service. I appreciate it.,5,Date of experience: 27 September 2024,27 Sept 2024
Everything was clear they explained everything,"I think was cleared, explain properly to me, I don’t understand everything",5,Date of experience: 11 September 2024,11 Sept 2024
Friendly,"Friendly, calming, efficient- just what was needed for that moment Thank you",5,Date of experience: 05 September 2024,5 Sept 2024
Barney was v helpful and exceeded my…,Barney was v helpful and exceeded my expectations so well done!,5,Date of experience: 13 September 2024,13 Sept 2024
Initial enquiries and registration,"Initial enquiries and registration was a quick,  responsive and informative process. Professional response over the ‘phone and helpful additional information sent via email. The indicative calculation to demonstrate how my daily rate was calculated was particularly helpful. The overall experience was helpful and efficient.",5,Date of experience: 18 September 2024,18 Sept 2024
Thank you…,Thank you Amal for answering my query patiently.,5,Date of experience: 18 September 2024,18 Sept 2024
Teamwork,The Team do a great job of taking care of queries in a timely manner. Attention to detail and customer care is exlemporary.,5,Date of experience: 16 August 2024,16 Aug 2024
Martin was extremely polite and…,Martin was extremely polite and helpful. He resolved my query right away. I was completely satisfied with the assistance that i got.,5,Date of experience: 26 July 2024,26 Jul 2024
Natasha C dealt with my enquiries…,Natasha C dealt with my enquiries promptly and the responses were clear. Thank you. Bev C-H,5,Date of experience: 11 September 2024,11 Sept 2024
For Daniel to call back to follow up on… Thank you Daniel for following up,For Daniel to call back to follow up on the complaint shows the company is working well and for the staff (Daniel) he is a good staff.,5,Date of experience: 07 August 2024,7 Aug 2024
Lewis was polite listened and explained…,Lewis was polite listened and explained my query very well. Excellent customer service,5,Date of experience: 30 August 2024,30 Aug 2024
Taking ownership to resolve issue,Martin took ownership to get the issue resolved and then called back to let me know the outcome.,5,Date of experience: 16 August 2024,16 Aug 2024
Simple onboarding process.,Simple onboarding process.Very friendly and courteous member dealt with me and explained everything I needed to know.,5,Date of experience: 07 August 2024,7 Aug 2024
Very fast and clear response.,Very fast and clear response to my query.Much appreciated.,5,Date of experience: 12 September 2024,12 Sept 2024
Efficient in dealing with my concern in…,Efficient in dealing with my concern in an empathetic and timely manner.,5,Date of experience: 20 September 2024,24 Sept 2024
Daniel at Workwell,"Daniel, at Workwell, was polite and took ownership of my query to ensure that it was dealt with promptly by his colleagues. However, in resolving my query, Workwell  showed complete disregard for data protection, sending my P45, containing  sensitive information, via email, without encryption. This shows lack of care for data protection and I would urge Workwell to ensure that this is rectified going forward.",4,Date of experience: 29 August 2024,1 Sept 2024
Natasha was was able to help me and…,Natasha was was able to help me and pass on my query to the right people.,5,Date of experience: 25 September 2024,25 Sept 2024
Thanks Preeya for being so helpful,"Thanks Preeya for being so helpful , you are so amazing .",5,Date of experience: 13 September 2024,13 Sept 2024
Query dealt with quickly,"Query dealt with quickly, efficiently & in a pleasant manner",5,Date of experience: 05 September 2024,5 Sept 2024
Very helpful and friendly,Very helpful and friendly,5,Date of experience: 04 October 2024,6 days ago
Very helpful and friendly,Very helpful and friendly,5,Date of experience: 03 October 2024,7 days ago
It was  a warm and supportive …,It was  a warm and supportive  discussion Thank you,5,Date of experience: 09 September 2024,11 Sept 2024
A straight forward and reliable umbrella,Just starting off but the process was simple and relaxed when I joined. The benefits sound good.,5,Date of experience: 20 August 2024,20 Aug 2024
:) was a great pleasure to speak with…,:) was a great pleasure to speak with your employee,5,Date of experience: 12 September 2024,12 Sept 2024
Protection I would say. Better ask people,Workwell one of popular safe to use as partner between employers and employee.,5,Date of experience: 11 September 2024,11 Sept 2024
Awesome support provided by the Agent…,"Awesome support provided by the Agent today, the guy was brilliant and positive.",5,Date of experience: 14 August 2024,14 Aug 2024
Easy to talk to and helped break down…,Easy to talk to and helped break down information,5,Date of experience: 12 September 2024,12 Sept 2024
Always get the information I need and…,Always get the information I need and problems solved without any fuss,5,Date of experience: 16 August 2024,21 Aug 2024
Thank You to Daniel for his great…,"Thank You to Daniel for his great service, he was patient and sufficient.",5,Date of experience: 21 August 2024,21 Aug 2024
Thanks for answering all my questions…,Thanks for answering all my questions and putting me in the right direction,5,Date of experience: 21 August 2024,21 Aug 2024
Brilliant,Brilliant! Gary was lovely and explained everything in detail to me.,5,Date of experience: 10 September 2024,10 Sept 2024
absolute incompetence and…,***everything seems good when there's nothing wrong - but you truly know the level of service when something needs fixing. ***. absolute incompetence and miscommunication. if you use these as a contractor or limited company - you have been warned from my personal experience of deep DEEP frustration of incompetent staff when my accountant was on holiday. Unfortunate I cant put lower then 1 star,1,Date of experience: 02 August 2024,15 Aug 2024
My enquiry has been resolved,My enquiry has been resolved,5,Date of experience: 06 September 2024,18 Sept 2024
Helpful,Lewis was really helpful with resolving my enquiry very quickly and was lovely to speak to.,5,Date of experience: 14 August 2024,14 Aug 2024
Superb support and friendly advice,Superb support and friendly advice. Thanks,5,Date of experience: 09 September 2024,9 Sept 2024
Employee review,The company is doing wellgood assistance,5,Date of experience: 12 September 2024,12 Sept 2024
Quick response and an easy access…,Quick response and an easy access solution.,5,Date of experience: 04 September 2024,4 Sept 2024
Barney was excellent,"Barney was excellent, very kind and helpful 😊",5,Date of experience: 05 September 2024,5 Sept 2024
Honestly they deal very well and…,Honestly they deal very well and explain everything clearly thanks,5,Date of experience: 05 September 2024,5 Sept 2024
Great it was straightforward and helpful,Great it was straightforward and helpful,5,Date of experience: 09 September 2024,9 Sept 2024
politely,"Provided excellent, polite and quick service.",5,Date of experience: 19 September 2024,19 Sept 2024
Fast and efficient,"The representative from this company made the process extremely fast and easy, he was also very professional.",5,Date of experience: 19 August 2024,19 Aug 2024
Satisfied.,Very helpful and answered my questions.,5,Date of experience: 12 September 2024,12 Sept 2024
Quick easy process that helped me get a my end result,Quick easy process that helped me get a solution to my payroll needs. Top draw,5,Date of experience: 04 September 2024,4 Sept 2024
Really helpful and knowledgeable staff…,Really helpful and knowledgeable staff who respond quickly to queries.,5,Date of experience: 01 August 2024,1 Aug 2024
Answered my query efficiently &…,Answered my query efficiently & effectively,5,Date of experience: 27 September 2024,27 Sept 2024
Martin was helpful and gave concise…,Martin was helpful and gave concise pointers,5,Date of experience: 05 September 2024,5 Sept 2024
Great service,"Really helpful, answered my questions and dealt with my requests quickly.",5,Date of experience: 05 August 2024,5 Aug 2024
Costumer service,The representative was very helpful and totally clarified my doubts.🤩,5,Date of experience: 14 September 2024,14 Sept 2024
Daniel was very helpful in settling my…,Daniel was very helpful in settling my query and did it in a timely manner,5,Date of experience: 29 July 2024,29 Jul 2024
Informed and got me what I…,Informed and got me what I needed.Karina was really helpful and handled my concerns really well!,5,Date of experience: 12 August 2024,12 Aug 2024
Martin J was really helpful,Martin J was really helpful and answered my query,5,Date of experience: 04 September 2024,4 Sept 2024
"Complete ""Clowns"" and their staff told…","Complete ""Clowns"" and their staff told me a complete pack of lies, which were all disproved by HMRC on the phone (Yes, Workwell, HMRC can see what you are doing, including making checks that you have never done on my CIS/UTR number). See the catalogue of lies here:  Bad Decision 1 - They paid me at the rate of CIS deduction -30% without writing or calling to alert me of a potential issue (it should have been -20% of course). Some communication here would have solved the problem if this company was legit, but I think they did it with intent as things went from bad to worse;    Bad Decision 2 - When I called to ask what they were playing at, they said there was a problem with my UTR/CIS status. When that argument was shot down in flames, I stated that they could not have even checked my UTR, as another Umbrella Company had paid me for the same week for a night shift, validated my URT/CIS and charged the correct rate of 20%. Then they tried the next lie; see Bad Decision 3 below;  Bad Decision 3 - They then invented fake correspondence from HMRC, that they had it writing via HMRC notifications just today that my UTC/CIS has a problem and my rate of deduction should be charged at the deduction rate of -30%; this is despite me having the UTR/CIS since 2004 and never once having a problem with it. I rang HMRC to check this story out, which not only proved to be complete rubbish, but they also confirmed that Workwell had made no UTR/CIS check; HMRC can see all Ping's/Validation by 3rd parties on their systems.  Bad Decision 4 - I rang Workwell back up to tell them that HMRC had confirmed their lies from Bad Decision 2 + 3 above and that my assumptions that I was being lied to more than once were correct; they then went on to make bad decision 5, see below;  Bad Decision 5 – They then came out with, ""Well, it's quite normal for new people joining a new Umbrella Company to be charged 30%"" Of course, this is just more ""Complete Crap""! I've used 10's and 10's of various Umbrella Companies over the years for multiple contracts, and I have never been charged 30% for the first few weeks. What happened here is either:  A: They had bad cash flow and were looking for ways to temporarily claw money off people so they could make their payment run.   B: They could not be Fu&^ed to check my UTR/CIS because they had left everything to the last minute.   Bad Decision 6 – Once all of their complete pack of lies unravelled, they are still refusing to pay me the discrepancy of 10%. If this situation continues another few days and into next week, they will soon find the issue will be settled in the Small Claims Court. Overall, I would steer clear of this Umbrella Company; the lies and dishonesty are genuinely shocking, and there is a risk you will be left out of pocket!",1,Date of experience: 13 September 2024,Updated 15 Sept 2024
Super friendly and helpful.,Super friendly and helpful.,5,Date of experience: 10 September 2024,10 Sept 2024
I felt valued,I felt a valued customer not just a number....,5,Date of experience: 12 August 2024,13 Aug 2024
Helpful,Very helpful in explaining items in my payslip,5,Date of experience: 16 August 2024,16 Aug 2024
Time consciousness,The timely contacts and approach on phone.,5,Date of experience: 05 September 2024,5 Sept 2024
Very helpful and patient,Very helpful and patient. I was happy with how everything was handled.,5,Date of experience: 03 September 2024,3 Sept 2024
Workwell's application form,"Workwell's application form, was very easy to use.That is not always the case with on line journeys.",4,Date of experience: 06 August 2024,6 Aug 2024
Very helpful,"Very helpful Whenever ask for help, ready to do",5,Date of experience: 03 September 2024,3 Sept 2024
Very good and supportive,Very good and supportive,5,Date of experience: 04 September 2024,4 Sept 2024
Martin was very polite and friendly and…,Martin was very polite and friendly and helpful,5,Date of experience: 02 August 2024,2 Aug 2024
Review,Good and detailed answers,5,Date of experience: 02 September 2024,2 Sept 2024
I had an unusual query,"I had an unusual query, but Martin tried to resolve it and attempted to be flexible.",4,Date of experience: 22 August 2024,22 Aug 2024
Friendly service,Friendly service,5,Date of experience: 13 September 2024,13 Sept 2024
Excellent experience with the member of…,"Excellent experience with the member of staff who assisted me. Professional, courteous and helpful",5,Date of experience: 29 August 2024,29 Aug 2024
Amal A answered my question promptly…,Amal A answered my question promptly and clearly.,5,Date of experience: 11 September 2024,11 Sept 2024
Pleasant and Helpful,"Pleasant, courteous manner and helpful, ‘can do’ attitude. Problem solved. Thank you.",4,Date of experience: 09 August 2024,9 Aug 2024
Very helpful,Date of experience: 13 September 2024,5,Date of experience: 13 September 2024,13 Sept 2024
Great service,The agent answered all my questions in a clear way.,5,Date of experience: 05 September 2024,5 Sept 2024
Was very helpful,Was very helpful,5,Date of experience: 16 September 2024,16 Sept 2024
My query was dealt with quickly,"My query was dealt with quickly, and efficiently.",5,Date of experience: 09 August 2024,9 Aug 2024
Workwell help,The help which I got from Workwell was very useful.,5,Date of experience: 05 August 2024,5 Aug 2024
Agent was excellent!,Date of experience: 13 September 2024,5,Date of experience: 13 September 2024,13 Sept 2024
Professional and pleasant and solved my…,Professional and pleasant and solved my query straightaway.,5,Date of experience: 02 August 2024,2 Aug 2024
Daniel was really helpful,Daniel was really helpful. It was easy and quick to call and get everything sorted.,5,Date of experience: 01 August 2024,1 Aug 2024
He was very efficient and polite and…,He was very efficient and polite and dealt with my request quickly.,4,Date of experience: 14 August 2024,14 Aug 2024
"Very good yesterday,thankyou.",Date of experience: 14 September 2024,5,Date of experience: 14 September 2024,15 Sept 2024
Very helpful,Very helpful,5,Date of experience: 06 September 2024,6 Sept 2024
Quick response.,Date of experience: 04 September 2024,5,Date of experience: 04 September 2024,4 Sept 2024
Polite and professional!,"Polite, professional & concise! Probably the most effective umbrella company service yet!",5,Date of experience: 02 September 2024,3 Sept 2024
Natasha was absolutely brilliant,"Natasha was absolutely brilliant, answered all questions appropriately",5,Date of experience: 14 September 2024,14 Sept 2024
Helpful and quick,Date of experience: 10 September 2024,5,Date of experience: 10 September 2024,10 Sept 2024
Amal was concise and nice.,Date of experience: 12 September 2024,5,Date of experience: 12 September 2024,12 Sept 2024
Brilliant Service,Brilliant Service! Patient and thorough in attendance.,5,Date of experience: 05 September 2024,5 Sept 2024
Agent was really polite and informative,Date of experience: 12 August 2024,5,Date of experience: 12 August 2024,12 Aug 2024
Good services,Date of experience: 25 August 2024,5,Date of experience: 25 August 2024,27 Aug 2024
It was amazing,It was amazing,5,Date of experience: 04 September 2024,4 Sept 2024
Good communication,Yeah very helpful and good communication.,5,Date of experience: 11 September 2024,11 Sept 2024
Excellent customer service,Excellent customer service,5,Date of experience: 01 October 2024,1 Oct 2024
Helpful and polite,Helpful and polite,5,Date of experience: 03 September 2024,3 Sept 2024
Fast efficient and easy to understand,Fast efficient and easy to understand,5,Date of experience: 08 August 2024,8 Aug 2024
Preeya was helpful responsive and very…,Preeya was helpful responsive and very empathetic!,5,Date of experience: 06 September 2024,6 Sept 2024
Helpful advice,Date of experience: 01 October 2024,5,Date of experience: 01 October 2024,1 Oct 2024
Not resolved,Greedy company Issues not resolved,1,Date of experience: 04 September 2024,4 Sept 2024
You are punctual and I am experiencing…,You are punctual and I am experiencing good communication from your team,5,Date of experience: 07 August 2024,7 Aug 2024
Good,The conversation was very friendly and understandable,5,Date of experience: 03 September 2024,3 Sept 2024
Great Experience,Great friendly team. Thank you for all you do,5,Date of experience: 09 September 2024,9 Sept 2024
Was very helpful,Was very helpful,5,Date of experience: 21 August 2024,21 Aug 2024
The customer service provider was…,The customer service provider was helpful and attentive,5,Date of experience: 30 August 2024,30 Aug 2024
Thank you so much for right guidance 🙏,Date of experience: 05 August 2024,5,Date of experience: 05 August 2024,5 Aug 2024
Good friendly communication,Good friendly communication,5,Date of experience: 26 September 2024,26 Sept 2024
