title,description,rating,travel_date,review_date
Explained everything simply and clearly…,Explained everything simply and clearly didn’t rush and didn’t try to tell me things that I already knew about the service which was appreciated. Felt like it was an efficient and informative call.,5,Date of experience: 30 September 2024,30 Sept 2024
Professional organisation to work with,Paystream is a very professional umbrella company to work with. I liked my welcome interaction with Bradley who was very cordial and explained all my queries patiently. I would recommend them to my friends & colleagues.,5,Date of experience: 02 October 2024,2 Oct 2024
Pay stream just made working as an…,"Pay stream just made working as an umbrella worker easy. Customer service were always helpful and returned calls when they said they would, this is pretty basic but many companies fail at this but Paystream were great.",5,Date of experience: 24 September 2024,24 Sept 2024
Good customer service = Value for money,"The customer service was excellent, so I really felt I was getting what I paid for, both before, during and after using PayStream.The UK based (I believe) call center was staffed with knowledgeable people, who knew what they were doing and sorted everything out quickly and proactively.I would definitely use them again.",5,Date of experience: 24 September 2024,24 Sept 2024
Excellent Service and Costs,"Over my last 4 months of being at paystream, I have found the app, the customer service team and the costs all to be of extremely great value helpful and easy to use or understand. I would and have done so, completely recommend Paystream.",5,Date of experience: 27 September 2024,28 Sept 2024
Made my life so simple!,"Made my life so simple!I had previously been in contracting for more than 20 years and came back to it for the last three years.Using Paystream instead of setting up my own company made life a breeze.Do the work, submit an approved timesheet, get paid a week later.No books, no accountant, no VAT trials and tribulations.",5,Date of experience: 23 September 2024,27 Sept 2024
Excellent customer service,Paystream make everything very easy and are unbelievably responsive and have solved any query I have had immediately. Can't recommend them enough.,5,Date of experience: 30 September 2024,1 Oct 2024
Thanks Sam Rushworth!,Thanks Sam Rushworth!I started using Paystream and I am happy with the competency of the accountants and how quick they were to help me to stay on top of my year end accounts. Sam provided me with information and advice which enabled me to go through the process with understanding and confidence.,5,Date of experience: 28 June 2024,24 Sept 2024
PayStream give brilliant customer service…,"PayStream give brilliant customer service. I rang and spoke to Sophie yesterday, who answered my query then promised to call me back with confirmation details. She rang back within 5 mins, was super friendly, professional and knowledgable.",5,Date of experience: 25 September 2024,27 Sept 2024
Contract working without hassle,I've worked as a Ltd Company in the past and experienced all the messing about with accounts / receipts / tax problems....the list goes on and on. This time I went 'umbrella' with Paystream. What a difference! They sort out all the above and leave you to get on with your job. Definitely use them again in the future. OK there are fees involved but ask yourself ' how much does a good accountant cost?'.,5,Date of experience: 27 September 2024,27 Sept 2024
I’m new to paystream,"I’m new to paystream, my first experience with Mohammed was great, he explained everything clearly and followed up with an email, he was friendly and knowledgeable.",5,Date of experience: 01 October 2024,1 Oct 2024
Really quick and easy to get support…,Really quick and easy to get support when needed. I would highly recommend Paystream as your umberella.,5,Date of experience: 07 October 2024,3 days ago
Help with submitting expense claim,"The person who helped me was very patient, friendly and approachable. I needed help submitting an expense receipt on the portal. He guided me through and then recognised the issue was a glitch on the portal and it was not uploading the option to submit a receipt and the process is not smoothly streamlined.    We did manage to submit the receipt in the end and I was reassured that he would escalate the problem so the glitch will hopefully be fixed. If I had been unable to get around the glitch he gave me another alternative to submit which was reassuring.I was also impressed with previous E mails from customer services alerting me that my expense claim had not gone through. I would not have seen there was a problem otherwise.",5,Date of experience: 27 September 2024,27 Sept 2024
The company was recommended by friends…,The company was recommended by friends and It was the right choice as their customer service was one of the best that I have ever come across.Easy to connect and always available to resolve any issues promptly and willingly. I will highly recommend them.,5,Date of experience: 26 September 2024,26 Sept 2024
Do not go with this Company,"Do not go with this Company, they just rob Candidates, My working hourly rate was £18 on a 35 hours contract, I am supposed to get £630 a week but they paid me £465 even less for 4 months. This Umbrella company is totally bushtit, will never recommend, I have made a official complaint and seems like they don't care, their customer service is awful. it is totally frustrated.",1,Date of experience: 30 August 2024,7 days ago
Highly recommended umbrella company,"I have used PayStream several times over the years and always received an excellent service. My pay has always been correct and on time, and anytime I needed to contact PayStream, my query was dealt with and the staff have always been courteous. I would highly recommend PayStream to anyone looking for an umbrella company.",5,Date of experience: 24 September 2024,24 Sept 2024
Excellent service,Excellent service provided by Jasam who is an asset to paystream. He was very thorough and explained all details regarding my workplace pension and private pension. He was very helpful.,5,Date of experience: 26 September 2024,27 Sept 2024
Excellent customer service,I recently started working on an IT contract with Paystream as my umbrella company. I chose Paystream based on their reputation for excellent customer service and hassle free onboarding process. It was recommended to me by some colleagues.Paystream truly delivered beyond my expectations. The are quick to address the queries and keep me informed regularly. Highly recommend anyone looking for an Umbrella company! Special thanks to Joe for quickly clarifying my queries today regarding payslips!,5,Date of experience: 26 September 2024,26 Sept 2024
A good umbrella company,A good umbrella company. Colourful pay slips and furloughed over lockdown. Was with them for 9 years. Very friendly staff too.,5,Date of experience: 02 October 2024,6 days ago
Great customer service,Great customer service. Always receive very helpful advice and support. Have used PayStream as an Umbrella Company for a number of years and can’t fault them. Would highly recommend.,5,Date of experience: 25 September 2024,25 Sept 2024
Very helpful and consistently good!,They have made contacting very easy. From day 1 they provided all the advice needed and did consistently well during the assignments I was on. Also provided advice for my self assessment in relation to pensions.,5,Date of experience: 27 September 2024,27 Sept 2024
The support was very friendly,The support was very friendly and clear. Vicky took the time to repeat and explain the information when necessary.,5,Date of experience: 02 October 2024,3 Oct 2024
Money for nothing,"Money for nothing - total waste of time. Their customer service is inconsistent (it's never the same person) and seemingly obtuse. In the event of unsatisfactory service don't expect them to waive their margin fee or show goodwill. Most recently they split an invoice when all time sheets had been submitted. I feel like I cannot trust them to pay me correctly. Started off well, have gone downhill rapidly. Edit: see reply - further evidence they take their cut but do nothing to proactively solve solutions.",1,Date of experience: 29 September 2024,Updated 6 days ago
All round excellence,Paystream has been brilliant for me from the very beginning when I had no clue about umbrella companies to today when I am moving to a permanent role. Could not have asked for a better service.  Very friendly and helpful,5,Date of experience: 25 September 2024,25 Sept 2024
I moved from another company,"I moved to paystream from another umbrella company and paystream were just great, the communications were clear, all calculations and deductions on my pay were explained and correct, I knew where I was each week and any queries were resolved quickly. They are just good at what they do.",5,Date of experience: 23 September 2024,Updated 24 Sept 2024
Recommended for contractors,Software is easy to use and invoicing/pay slips etc always done promptly.  Staff are also proactive in helping and quick to answer any questions.This was my first time setting up my own company and couldn't have been easier with them.,5,Date of experience: 20 September 2024,20 Sept 2024
Recently Joined,"Recently joined, onboarding process and online portals all quite intuitive, representative are helpfully and easy to contact the company, thanks to Emma-Louise for finalising the process",5,Date of experience: 09 October 2024,A day ago
Always helpful and happy with their…,Always helpful and happy with their service. Very good experience as I was their customer for more than 10 years.,5,Date of experience: 01 October 2024,1 Oct 2024
Lauren looked after a pretty complex…,Lauren looked after a pretty complex change in my contract recently. Her dedication and help to get it sorted for me was brilliant. Can’t thank her and Paystream team enough,5,Date of experience: 26 September 2024,27 Sept 2024
Straight forward seamless service,A full explanation was provided on there service detailing costs and the process.The staff I dealt with were very helpful and provided the answers to my questions.,5,Date of experience: 24 September 2024,28 Sept 2024
Helpful customer care team,Mohammed was helpful and informative. It was a quick call so not much else to say really. Much appreciated though.,4,Date of experience: 07 October 2024,3 days ago
First Class Service,As a customer of PayStream for over 3 years I have only good things to say about their services and staff and highly recommend them to others and wouldn't hesitate in using their services again in the future.,5,Date of experience: 20 September 2024,2 Oct 2024
Mileage Expense,"I have been struggling to get my mileage expense receipts sorted for approximately 2 weeks due to lack of information from Paystream. I have been on phone with different customer service agents back to back with the expense team not forward facing, it was really challenging getting this sorted. Speaking to Emily this morning and my persistence on remaining on the call till it gets resolved did the magic. Emily was calm and attentive, went back and forth to the expense team and it was all resolved whilst on the call. Thank you Emily for your conflict resolution skills.",5,Date of experience: 18 September 2024,18 Sept 2024
Good service,I have used many payroll companies in the past and i am really happy with the service and prompt response. I would definitely recommend you to consider paystream.,5,Date of experience: 23 September 2024,25 Sept 2024
Tony was great at explaining the…,Tony was great at explaining the details. Excellent service!,5,Date of experience: 08 October 2024,2 days ago
Paystream Customer Services,My recent interaction with the Paystream Customer Services team (& George in particular) was first class. My issue was resolved swiftly & efficiently. Many thanks.,5,Date of experience: 26 September 2024,26 Sept 2024
Preferred Umbrella Agency,Have repeatedly returned to PayStream for my inside IR35 contracts to act as an Umbrella Agency.Easy to get hold of support via telephone when needed each time. Clear payslip information. Proactive staff. Quite happy so far :),5,Date of experience: 12 September 2024,12 Sept 2024
Sophie was very precise and clear found…,"Sophie was very precise and clear found the relevant information for me very quickly.  A very professional interaction 👏 talked through all and any details with sound knowledge of just what she was talking about , breath of fresh compared to many interactions of a similar nature",5,Date of experience: 24 September 2024,24 Sept 2024
Excellent service and very responsive.,I've been really very happy using PayStream.  Have used their umbrella service and the limited company accounting service.  Both are excellent.  They are always helpful and answer any queries very quickly.  Will be using them in future.,5,Date of experience: 11 September 2024,12 Sept 2024
Misc…,"I spoke to Jordan G at PayStream  this morning and he was absolutely amazing. Competent and diligent, he demonstrated first class customer service!",5,Date of experience: 26 September 2024,26 Sept 2024
Speedy and Efficient,"The guys have been very efficient in terms of speedy set-up, and also have explained all details of the service and options. Excellent!",5,Date of experience: 25 September 2024,25 Sept 2024
My query was actioned promptly and the…,My query was actioned promptly and the advisor Muhammad was very thorough and ready to help.,4,Date of experience: 09 October 2024,A day ago
Emma explained everything well and she…,Emma explained everything well and she was very polite and answered all my queries.,5,Date of experience: 03 October 2024,3 Oct 2024
An Excellent Umbrella Provider,"This was my first Umbrella contract. I was given a list of potential companies better by my agency. I called and discounted eight before speaking to Paystream. Liam, who answered my call, explained they could provide all the services I was looking for. I was with them for the full 20 month contract and everything ran smoothly.",5,Date of experience: 11 September 2024,15 Sept 2024
Incredibly responsive,"Incredibly responsive, always on top of things, and consistently provides great advice. I really can't fault their service—it’s been excellent. The only downside is their portal, which I find less user-friendly, especially when it comes to managing expenses. Aside from that, their work is top-notch",4,Date of experience: 23 September 2024,26 Sept 2024
Mohammad provided great customer service,"Mohammad was friendly, informative, and helpful. This makes being paid via an Umbrella company much more pleasant.",5,Date of experience: 26 September 2024,26 Sept 2024
Taxation advise from Tara Pugal,"Just off a call with Tara Pugal regarding taxation of Ltd company & my options therein, she was very professional & explained everything very well in depth but still in laymans terms for me.Thank you Tara.",5,Date of experience: 10 September 2024,10 Sept 2024
A company I have used twice in 2023/4,A company I have used twice in 2023/4. Very professional and competent. I would recommend them as an Umbrella Company.,5,Date of experience: 24 September 2024,28 Sept 2024
Paystream for last 2 contracts,I’ve used Paystream for my last 2 contracts. Very good support and knowledgeable team - Thanks!,5,Date of experience: 30 September 2024,2 Oct 2024
If you are inside IR35 i would highly…,"If you are inside IR35 i would highly recommend to go with Paystream. They a professional, process your payments accurately, quick to respond and get a weekly statement and text prior to payment.",5,Date of experience: 11 September 2024,17 Sept 2024
Always been super helpful at explaining…,Always been super helpful at explaining things as this was the first time using an umbrella company - the website is easy to navigate and the team in My Max Ex were so helpful - Lauren is incredible patient when I have queried things in the beginning. Would highly recommend.,5,Date of experience: 20 September 2024,20 Sept 2024
Super impressed with knowledge of the…,"Super impressed with knowledge of the staff, and speed of answering queries.",5,Date of experience: 03 October 2024,7 days ago
Helya was very helpful and professional…,Helya was very helpful and professional and was able to answer my question fully.,5,Date of experience: 01 October 2024,1 Oct 2024
Easy straight forward to register  wage…,"Easy straight forward to register  wage slips and wages on time every time  :) full breakdown of umbrella  fees ,other partys tax and NI your paying .",5,Date of experience: 11 September 2024,12 Sept 2024
Tax significantly under calculated twice,"For the two years I was with Paystream I've underpaid tax that they calculated. When I called them the first year,THEIR calculations showed I'd overpaid by 3k and was due a rebate, HMRC calculated I underpaid £300. The second year I was told I'd overpaid by a much smaller £400, this morning I received a notification from HMRC I'd underpaid by £2.5k.They might be able to ensure you are paid on time but DO NOT trust their accountants. Pay for your own, competent, accountant and do not rely on Paystream to get this information correct.",1,Date of experience: 31 May 2024,23 Sept 2024
A very happy customer!,"I have used Paystream for nearly 4 years whilst working as a Consultant. During this time I have always found the staff at Paystream to be professional, supportive and willing to go the extra mile to help with any problems that occasionally occur (not usually the problem of Paystream!). The communication, support, and products provided by Paystream are designed around the customer to help make work/ life easier. I always felt valued and have no hesitation in recommending the Company and staff and hope to work with them again in the future.",5,Date of experience: 11 September 2024,12 Sept 2024
expenses incompetence,"expenses incompetence. Completely unable to correctly reimbure expenses. Twice now i (out of 2 attempts) they have included my reimbursed out of pocket expenses as salary and deducted tax/NI etc from them. I end up getting only just over half what i had paid out. We've been through it on the phone and by email, but they just lack basic competence it seems.",1,Date of experience: 19 September 2024,19 Sept 2024
Great processes and service,Great processes. Easy to use and customer service is quick and helpful. Have already recommended to a friend.,5,Date of experience: 15 July 2024,24 Sept 2024
Absolutely fantastic service,"Absolutely fantastic service. The knowledge of the staff was great and if they didn’t have an answer to hand , they came back really quickly with a response. The end to end processes are really smooth too . I would definitely use them again in future.",5,Date of experience: 11 September 2024,13 Sept 2024
Happy with Paystream,"All of my interactions with the customer service team have been fantastic this year. They’ve been quick to answer my (many) queries, send me any relevant info / docs and quick to process payment. Everything you want from an Umbrella company!",5,Date of experience: 02 September 2024,2 Sept 2024
Amazing Customer Service,I have been with Paystream since last couple of years and they have been amazing in terms of their customer service. Highly recommended.,5,Date of experience: 20 September 2024,20 Sept 2024
Fantastic service,Paystream was recommended to me by a friend and they have been fantastic. Friendly service and always willing to help if I had any issues or questions. Would definitely recommend.,5,Date of experience: 11 September 2024,12 Sept 2024
Paystream,"Paystream, in particular Emma today was very helpful and provided good questions and feedback, thanks.",5,Date of experience: 23 September 2024,23 Sept 2024
Excellent service,"I’ve worked with Paystream a few times whilst contracting and they were very professional and knowledgeable at all times, offering advice and guidance throughout.",5,Date of experience: 23 September 2024,25 Sept 2024
Helya was very helpful and efficient,Helya was very helpful and efficient. Answered my query immediately,5,Date of experience: 02 October 2024,2 Oct 2024
Excellent,Very clear information explained simply which is great for someone like me who has zero understanding of the tax system,5,Date of experience: 18 September 2024,19 Sept 2024
I had a fantastic experience with…,"I had a fantastic experience with PayStream. The team was professional, responsive, and always willing to help. They made everything easy to understand and were quick to address any questions I had. I highly recommend PayStream for their excellent service and dedication to their clients. Thank you for making the process so smooth!",5,Date of experience: 06 September 2024,6 Sept 2024
Avoid,"Avoid! Dreadful company. Constantly taxing my expenses. Numerous call backs promised but zero made. Every experience with this company has been hassle making my life that much more difficult.So called ""benefits"" are a red herring eg BP fuel card sold to me as saving 20p/lite on fuel actually is over 15p more expensive than my local Asda. I've ditched & gone to Sapphire.",1,Date of experience: 10 September 2024,10 Sept 2024
Paystream have been amazing,Paystream have been amazing. My 2 years with them have been a breeze. Peter was fantastic,5,Date of experience: 04 October 2024,6 days ago
Very good service and support,"Very good service and supportBrilliant company who allocate a dedicated to team to support you through. They spend time with you to provide detailed information and answer any questions you may have as well as providing useful literature. Tara from my allocated team has been very supportive and made me feel confident in using Paystream. They also have software where you can track everything, do your expenses and find useful information.",5,Date of experience: 16 August 2024,18 Aug 2024
Paystream the great,Paystream is brilliant company!. Always picking up my calls and making sure to keep me informed of any requests I make of them. The customer care team is friendly and very helpful.I would recommend :),5,Date of experience: 06 September 2024,6 Sept 2024
These folks are spot on,"These folks are spot on. Professional, friendly, knowledgeable and responsive. Have used them for Ltd. co and also Umbrella.",5,Date of experience: 11 September 2024,13 Sept 2024
Extremely professional team,"Extremely professional team of accountants who was always there for me when I needed them and added the numbers up correctly. Extremely impressed by their service and professionalism. Anam, Alya, Daanish and Tom, thank you, you're the best. If I ever start a second limited company again, I will most definitely hit you up again.",5,Date of experience: 07 August 2024,8 Aug 2024
Very helpful,"Very helpful, answered my query over the telephone immediately.",5,Date of experience: 01 October 2024,1 Oct 2024
Excellent Service!,"The quality of the services rendered were excellent. Payments were processed on time, always without any challenges.",5,Date of experience: 11 September 2024,15 Sept 2024
Amazing team!!,"Amazing team, Kele and Jack are extremely helpful. Would recommend them for payroll services.",5,Date of experience: 17 September 2024,17 Sept 2024
Good Umbrella Company,"The payments were timely, the staff is approachable and polite.",5,Date of experience: 27 September 2024,27 Sept 2024
Mohammed was very helpful with my…,Mohammed was very helpful with my queries!,5,Date of experience: 30 September 2024,1 Oct 2024
Extremely accurate,"Extremely accurate, concise and sensible input related to my limited company situation. Answers to every question straight away and very helpful advice to every question I had.",5,Date of experience: 11 September 2024,13 Sept 2024
I have dealt with Paystream in the past…,"I have dealt with Paystream in the past and happy with their service. They are responsive , caring and friendly. Always ready to help.",5,Date of experience: 27 September 2024,27 Sept 2024
This is my first contract job that I am…,"This is my first contract job that I am doing and have not had the best start with other agencies however, Sophie at PayStream has been such a kind, diligent  and helpful person to deal with. She has given me the best service and has gone the extra mile to keep me posted on the process. Absolute asset to the team!Well done and thank you.Babita :)",5,Date of experience: 07 August 2024,8 Aug 2024
I would not recommend Paystream,"I would not recommend Paystream, this is the second time and probably not the last time they are making the same mistakes when it comes to my expenses despite being given every information under the sun for them to complete the process properly. Because of their incompetence I’ve had to wait over a month each time to get my expenses reimbursed. And yet again I am having the same issue. No one in the finance department seems to know what they are doing. They keep asking for the same information that they I’ve clearly uploaded to their own portal. It’s obvious they aren’t even looking at it. It's so exhausting speaking to them. The worst part is I’m still being charged for this substandard service. Once my expenses situation is sorted I will be moving to another company, who hopefully unlike PayStream know what they are actually doing.",1,Date of experience: 04 September 2024,18 Sept 2024
5 stars as very helpful and efficient,"5 stars as very helpful and efficient, everything went smoothly . Highly recommend",5,Date of experience: 20 September 2024,20 Sept 2024
Muhammed was very professional and…,Muhammed was very professional and sorted out all my queries and concerns,5,Date of experience: 25 September 2024,25 Sept 2024
Excellent customer service,"Quick start up, they would always solve my queries.",5,Date of experience: 01 October 2024,1 Oct 2024
The amount of time account spent time…,The amount of time account spent time in walking me through the account statement is commendable. Excellent advice offered on how best to manage my accounts really helped.,5,Date of experience: 21 August 2024,22 Aug 2024
This young lady went out of her way to…,This young lady went out of her way to make sure that my pay was processed on time.  She was up against tight deadlines and showed true empathy.  The kind of person who really is truly an asset to the organisation she works for.  I would give her a senior job any day of the week!!,5,Date of experience: 31 July 2024,30 Aug 2024
Brilliant from the get go...,"Can't say enough about the team at PayStream - they have been brilliant from the get go, helping with the company set up and managing all our accounting, tax liabilities and company reporting, providing proactive advice and quickly answering any questions I have had. Keep up the good work guys - thank you!",5,Date of experience: 12 August 2024,12 Aug 2024
First time with PayStream,"It’s the first time I have set up a company and worked outside IR35. From start to finish PayStream have been excellent, always kept me informed of my options and supported me throughout.",5,Date of experience: 21 August 2024,21 Aug 2024
Very helpful from the very start,Very helpful from the very start. They explain everything and don’t mind repeating themselves. Nothing is hidden and nothing is too much trouble,5,Date of experience: 02 September 2024,2 Sept 2024
Excellent,Excellent.  Incredibly easy to use system and clear and consistent advice and support which makes running a business really easy.,5,Date of experience: 13 September 2024,13 Sept 2024
Very Organised with payments on time,Paystream are very Organised with payments on time,5,Date of experience: 27 September 2024,27 Sept 2024
Exceptional service from Charlie,Charlie went out of their way to resolve my queries ahead of the weekend. Very friendly and efficient service,5,Date of experience: 13 September 2024,13 Sept 2024
Lost contracts because of them. Avoid!,I’m a social media freelancer that has lost over 3 contracts in the summer because of their very complicated onboarding process. I’m still waiting for them to complete the agreement with a company that I’ve worked with in June (no payment). Avoid at all cost.,1,Date of experience: 07 September 2024,7 Sept 2024
Excellent  service,"Great service, very efficient, will use them again",5,Date of experience: 24 September 2024,26 Sept 2024
Expenses query,One of the representatives (Peter) was very helpful and patient with my expenses enquiry today and helped me sort out an issue I had left unattended for far too long. All of my correspondence from Paystream has been prompt and professional.,5,Date of experience: 15 August 2024,15 Aug 2024
They simply don't care,Thank you for your lengthy response but I genuinely still believe that there is a bit more that could have easily been done. I have been contracting with your company for 18 months and my payments were steady. It was obvious that I would most likely be over the HMRC threshold for the tax code your were using and if you were unsure a simple conversation with me would have suffice. I have never been in this situation with any previous employers and I hope there will be lessons learned on your side from this experience. I still believe you could have done a better job to be honest if you did really care as you say you do! Still not a great experience for me and won't be working with you again in the future that's for sure!,1,Date of experience: 13 September 2024,Updated 16 Sept 2024
"Too many invoicing errors, avoid!","I've been with Paystream for three years now for my Limited company. Up until this year, they have been great, however over recent months the service I have received has degraded. This is primarily to do with invoicing errors - I have more than one contract so that means different invoices need to be sent out to my clients. Unfortunately Paystream have been issuing the wrong invoices, to the point where one client received an invoice that should have been sent to another client, which of course revealed the rates I was chargingthat client.The really annoying thing about this whole situation is that I send Paystream a timesheet for each invoice I want them to generate - this timesheet contains the client to invoice, the number of hours/days I have completed and the amount to invoice. It makes me wonder if the people generating the invoice actually read the paperwork you send them - I think not!Unfortunately I'm now at the point where I no longer trust Paystream to handle my accounts - I'm in the process of moving to another accountant. As you can imagine, these errors are embarrasing for me. I have a reputation to maintain with my clients - it just makes me look totally incompetent with simple invoicing. I am trying to run a business which means supporting my clients - the last thing I need is the headache of an accountant that cannot get the basics right.Anyway, a sad ending when things used to be so good.",1,Date of experience: 25 September 2024,25 Sept 2024
Clear concise process,Clear concise process - painless and efficient!,5,Date of experience: 08 October 2024,2 days ago
precise information dealt with at all…,precise information dealt with at all times by all staff.,5,Date of experience: 20 September 2024,20 Sept 2024
5*s for Paystream!,"My consultant Peter was very patient, kind, clear and concise.  He answered all my questions ensuring I fully understood everything, leaving me feeling confident about the whole process.",5,Date of experience: 08 August 2024,8 Aug 2024
My number 1 umbrella when I use Inside…,My number 1 umbrella when I use Inside IR35 contracts,5,Date of experience: 20 September 2024,20 Sept 2024
Sophie was really friendly and sorted…,"Sophie was really friendly and sorted my issue out promptly. Very happy , excellent service.",5,Date of experience: 02 September 2024,3 Sept 2024
Patient and helpful with answering…,Patient and helpful with answering queries and explaining how best to utilise services. Providing helpful tips on how best to tax efficient,4,Date of experience: 20 September 2024,25 Sept 2024
Onboarding is Brilliant,Very good onboarding practices and helpful staff,5,Date of experience: 27 September 2024,27 Sept 2024
Very professional service,"Very professional service, always quick to respond to any queries I have.  I recommend them if you need to operate an umbrella or limited company for your consultancy business.",5,Date of experience: 20 August 2024,20 Aug 2024
i am happy with their service,i am happy with their service. they pick up the phone when i need them. and this lady Millie-Raine answers instantly to the emails. So i do recomend them! Thank you!,5,Date of experience: 11 September 2024,11 Sept 2024
